age,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,default
43,138402,23626,747,35,0,21.499052721786974,12,0.5158200200846654,0
60,68364,18467,445,83,7,7.882522307481804,12,0.5480141826624966,0
41,118833,44758,687,108,12,11.842309525397441,12,0.30731003119823896,0
36,146503,8134,548,117,9,16.339553965824734,48,0.10885222253661861,0
65,149044,21743,825,36,9,13.326733408189806,60,0.5308869198946773,0
38,104878,20434,761,85,1,12.838800997832143,24,0.18713933925068035,0
67,77056,15233,312,70,0,10.656468954747782,60,0.4109409819451968,0
44,47490,6141,683,22,13,15.699542374935815,12,0.1124854502170656,0
46,147769,23019,698,40,7,16.548385703281234,48,0.29975323763028217,0
45,39975,25384,318,103,6,17.199014670280658,48,0.5929801510576749,1
65,46723,47903,790,92,6,4.08328242788566,12,0.15034680055190155,0
61,43279,41129,718,79,3,16.6982689535211,48,0.31184657599982113,0
49,98301,27967,636,101,10,23.947836522577738,12,0.25357497509497606,0
35,132214,45603,718,27,8,14.672190299381883,60,0.5525440616941322,0
65,31561,16172,421,47,5,18.593509356457997,36,0.5346700539536776,0
21,127435,21390,731,37,1,15.0264769245824,48,0.21884938015311442,0
45,86061,8267,343,30,13,21.73166391831952,12,0.1405938935252156,0
27,108397,44332,616,13,0,23.415619628445302,12,0.4135691970305587,0
29,69153,31167,680,116,0,6.644947734168084,48,0.26818435594185486,0
44,53142,26312,444,96,8,12.329350822535348,24,0.43604219530303157,0
21,46916,32840,626,72,3,11.32859727098623,12,0.11605987803390724,0
64,84324,23990,662,90,4,11.61734027423377,48,0.16669961758874471,0
28,64965,49179,349,87,2,5.324294077627208,12,0.44318611638632166,1
44,145932,10906,364,76,3,20.806353834566185,24,0.2061853276512489,0
31,24648,45379,654,89,11,3.304740467836043,36,0.5287938378812008,1
37,55133,22297,463,28,7,14.38509867386103,24,0.12929544385506772,0
28,70677,7011,440,50,12,17.392263731005553,60,0.20774099139278732,0
55,116059,49014,427,48,3,7.168062356324737,48,0.5992801242425343,1
55,114588,16738,697,42,8,22.8816293222229,24,0.3165380512933963,0
53,119950,33797,762,91,8,21.367357158057843,36,0.45148283177232174,0
25,118317,16120,486,91,5,13.09938391338832,12,0.19133152442850684,0
62,90135,13767,489,71,1,11.750850977653121,48,0.4049343674927689,0
59,55046,27852,687,86,11,7.8227783172497505,24,0.4630530341847092,0
61,67064,18703,728,92,9,18.924847554511683,36,0.25723831793325524,0
48,121459,5929,583,4,10,5.464235491719194,24,0.5144485559879389,0
27,126625,16951,536,41,6,17.805349461485118,60,0.4017087892361416,1
29,89350,31039,493,6,8,21.455282187664306,48,0.2945615048075151,0
28,65893,34504,586,41,5,7.640610458133033,12,0.3788211966715793,1
32,121520,22438,435,35,2,21.994616565222014,36,0.3883804237179621,0
54,145818,10744,470,104,13,3.2497719873889404,24,0.18276764634693302,0
53,81272,23284,458,26,14,23.03771617119682,48,0.3013661849334831,0
68,112152,47417,500,57,6,5.163150126654205,24,0.2717152940097466,0
43,142907,44748,786,45,4,17.029581503605733,48,0.30045136128956307,0
44,87649,12069,803,65,0,8.12685555056369,60,0.480555294242629,0
57,84674,47359,670,24,2,21.32242880131631,24,0.34126920373333636,0
55,144132,24799,402,72,4,14.026758120597997,60,0.5701580766196321,1
64,139044,38210,424,116,6,5.542926803046281,36,0.2468382066792181,0
60,128542,33226,612,26,2,15.347310354834516,60,0.30785178914246447,0
42,33760,9652,757,0,5,11.67735872943212,48,0.4934784052395207,0
47,41927,29323,529,86,4,17.382575873794778,36,0.37301229666037516,0
55,106475,47138,496,73,12,22.342823907177838,24,0.37351407321222385,0
21,81367,12597,722,41,0,11.711255451626915,24,0.12667008150259176,0
55,117955,42226,470,51,9,9.022315289511841,48,0.2992998313592279,0
57,32588,11591,681,24,5,2.826589626871198,12,0.23536686621086625,0
67,141750,30833,472,53,13,15.433878351847184,12,0.5996675614155577,0
34,121678,16826,752,66,7,11.551182267207254,24,0.25417753531615517,0
23,124734,31417,649,5,12,10.929607427833647,48,0.5422482673969318,0
21,138154,23693,793,57,12,6.6160447288947815,12,0.4381168675202387,0
25,72233,19138,303,69,0,12.176245266803672,60,0.2704582045960452,0
46,64738,7169,392,52,1,24.649943955625787,24,0.37176718918706186,0
34,53397,23556,305,65,13,9.199468457625498,60,0.5202679399745969,1
59,102189,27052,587,57,14,15.993349301682255,48,0.5416841490154559,0
47,96367,11313,445,81,3,19.9709548296025,60,0.1801969375030726,0
29,144873,13315,723,86,11,19.356051021471963,12,0.26978657060408484,0
35,91260,13036,756,1,1,9.897421468583293,12,0.2676115901067858,0
35,140585,36778,501,75,10,16.244351879129134,36,0.12102239803797235,0
46,96619,32734,511,21,8,22.103455418578537,24,0.3991188799259483,0
62,131453,28173,305,36,9,2.8475671239942537,48,0.527410026496094,0
33,39816,35403,675,19,7,12.304023028974422,24,0.29078719391275887,0
52,62240,5785,746,102,7,7.546151910442869,60,0.47001797249208854,0
59,26276,11139,405,23,3,11.244226533973876,48,0.41385020680037,1
69,133939,11344,700,111,4,11.859766179442937,48,0.28782436774650044,0
52,124199,23800,395,83,3,19.300096707699332,12,0.17052989974614854,0
24,99530,30372,687,64,12,4.610992128897471,60,0.45466192638798364,0
50,43499,25538,751,64,8,14.033137820481485,12,0.5272825844706203,0
57,108576,19973,715,80,12,15.19438281547177,12,0.44292724620074597,0
43,128856,10619,803,0,1,13.618546079915598,36,0.10893924201740904,0
59,102495,39704,753,116,12,18.967148193911203,12,0.20811644719549563,0
65,141717,41575,590,115,10,11.135303257904066,24,0.13473999244176596,0
35,91635,44919,833,108,7,23.761758931901714,48,0.3851930497881134,0
63,127803,47261,492,93,1,13.34057745712618,12,0.4782388394202062,0
49,105112,32716,449,104,0,15.352312966332946,24,0.15528959353432972,0
56,55946,8236,814,110,9,21.074443525301863,60,0.5191689102966927,0
33,75204,20848,692,2,2,8.692812383450256,48,0.37775448919774157,0
52,71886,7352,615,45,8,4.192045647163056,60,0.4449845060708625,0
27,91652,6932,375,54,11,18.425139513155855,24,0.5857009243043231,0
42,35563,15913,569,74,2,13.36776674983852,60,0.14184049412384866,0
48,112324,13556,524,87,8,22.671345646577382,60,0.5506120114888946,0
22,112464,26300,829,85,6,24.610301096254766,60,0.16305134799370466,0
62,121872,10498,412,63,12,11.479960387931406,12,0.2964794033183411,0
65,29847,15582,550,107,9,11.847377865842368,12,0.5257193481655572,0
26,46155,14569,532,44,0,11.679158549628845,12,0.5531271183689341,1
48,99671,9857,382,25,9,9.802467468945839,48,0.35318583677257265,0
48,136891,5340,424,76,4,20.08795969974394,24,0.39705231913771255,0
64,103310,48949,474,64,8,19.577404656041374,12,0.45407366729927856,0
64,87278,21766,368,23,11,13.269509587386809,60,0.5163793342263571,1
40,38309,31132,346,73,14,3.504877368525222,60,0.1607555847688331,1
50,20619,13491,555,34,14,9.465084284044153,60,0.5050346541146138,0
31,103194,5138,329,23,2,9.076818547483844,60,0.34063807525580836,0
48,70108,5358,580,27,8,20.749463039505812,36,0.32531171255408453,0
45,54707,14714,536,99,4,4.470450401863931,48,0.3119498759984991,0
59,40337,24840,547,79,8,20.627696028460843,24,0.3546057926230213,0
53,145261,39395,667,103,9,17.55663217448072,24,0.5725252766973018,0
21,101537,35654,794,15,5,18.979932830435107,12,0.3741018863960758,0
47,86504,30879,324,58,8,12.224796720663027,36,0.5765887691315696,1
33,67614,20996,789,80,6,17.79383041003956,24,0.1901450653078203,0
61,111428,42772,793,114,6,16.203151255905606,48,0.46206798941631655,0
23,111155,31762,613,53,7,19.802054392644163,60,0.5061197693043736,0
59,20281,18283,674,78,6,12.552321275535673,12,0.439564415667431,0
26,47420,44420,324,15,11,13.138576560166804,48,0.40346114011327017,1
28,100896,24554,633,14,8,16.980465011645954,24,0.3824063905430911,0
47,59030,25219,654,97,10,4.931743607493736,36,0.530465241289348,0
29,21058,39919,415,10,8,12.315500088197139,12,0.5108232985822501,1
57,106213,14429,347,64,5,24.368894018345625,24,0.16114436059029977,0
53,96260,49695,398,78,6,3.3449272013510263,12,0.524293828515439,0
62,48404,44673,758,89,1,9.610106264493862,24,0.3070343097202213,0
64,123482,24218,822,114,14,9.567470929510842,60,0.2268484149979054,0
44,125284,17452,704,67,8,16.752942682804886,36,0.534884284006963,0
35,49856,23951,513,42,11,4.880508087043148,60,0.3160123998168708,0
52,29200,6307,802,68,12,16.642240694774376,24,0.5041823450884083,0
52,84178,19852,747,98,0,4.638405414661436,48,0.23170180597792225,0
44,53997,30232,557,12,0,4.636457066912447,60,0.1019646607111089,0
61,45611,40428,420,9,2,18.88412553674085,48,0.34772959645147217,1
69,139273,48171,353,74,11,9.793041411237917,24,0.15011412832144214,0
69,61235,31485,630,81,5,24.492016323559326,36,0.4771879777624548,0
32,137428,15238,540,97,4,3.340441069799986,48,0.2380375680347052,0
59,55057,43975,829,102,14,12.514899933654867,24,0.3218228233017394,0
22,21239,6140,782,40,1,5.045558597665532,48,0.14351678254577713,0
23,123674,29842,486,105,8,10.406026752057445,60,0.24332962422362633,0
69,134474,31421,561,49,13,24.96000513870364,24,0.49074512162928596,0
57,85661,6708,663,86,12,22.498956514116966,60,0.17579395595115974,0
69,146945,8630,790,70,9,3.5872991992464303,12,0.42357978056347867,0
37,65272,24595,730,58,13,15.173256486077877,24,0.5587129264022506,0
69,109393,15485,538,38,3,17.0760018585498,48,0.4399183798788602,0
22,81212,33308,603,2,3,7.214529038877828,12,0.5055108446461134,1
22,144088,49789,597,75,4,5.764875401420131,60,0.1544858146519579,0
48,35398,31086,375,6,14,22.848575529974276,60,0.22536591300102723,1
43,140030,21859,632,48,7,24.298369933375973,48,0.5472694261202955,0
57,76503,12684,773,25,9,24.81758928969194,12,0.45755280680904464,0
52,26638,30552,582,32,3,20.269639909029276,36,0.4197769131886556,1
53,26570,6207,371,100,4,17.428796561618284,48,0.43188336806085004,0
21,88785,6960,562,47,11,10.278930674342453,60,0.3071002771523217,0
39,29110,5557,311,78,3,6.3564620273069306,24,0.12227831580882662,1
22,125899,34689,440,1,13,4.2770634857402134,12,0.49222077103536455,1
64,99141,18893,316,104,5,18.099193042408572,36,0.4393566181076769,1
46,32115,37272,362,70,11,20.15627684153556,24,0.3364022320563623,1
52,59062,5882,552,31,2,21.09520718023705,12,0.5498798076841287,0
26,42911,42529,764,3,7,23.059712574335467,48,0.2680798324925494,0
52,124061,43635,675,19,5,22.298415181863405,48,0.24716087211561796,0
24,52556,34535,819,113,9,24.994178625807084,12,0.5363981625397214,0
31,98131,17869,389,116,4,7.991440246763154,36,0.49849382737949277,0
37,148335,12166,474,35,12,19.674421342274737,12,0.35748990532417235,0
58,21969,17982,375,31,14,15.695339028432947,24,0.165367369728925,1
44,63753,45697,699,27,1,8.378015480205605,24,0.20753573573252623,0
25,102811,43115,370,76,9,24.592869751456213,48,0.4281139952044033,1
54,24470,12269,479,0,9,22.702707357420675,12,0.29252061892020587,1
26,141863,33064,423,59,6,5.39160253999262,48,0.5182365958329856,0
42,30225,18527,680,55,1,3.0885627022769464,36,0.5749775046661021,0
31,127860,7454,592,34,0,17.98744215248523,24,0.5028184626374591,0
68,143008,25878,494,111,6,16.09293914927204,60,0.2887727114977786,0
36,127510,17991,527,29,4,23.555851542500783,60,0.49434321461571207,0
53,128295,7808,730,53,0,7.765118961108321,12,0.27572083673534176,0
29,43196,44410,735,35,14,4.398728827637209,12,0.18355004388281695,0
26,125823,41593,760,54,3,8.332345009869695,60,0.1166966024329287,0
36,33669,41304,320,88,11,2.9258719115079277,12,0.29285835638051005,1
49,57380,35386,363,79,12,3.3075869017509794,24,0.551779651848641,1
23,144398,8802,464,57,3,23.08430063321709,36,0.21949329387783825,0
40,130677,33753,326,82,9,10.420373106292262,36,0.203256582464892,0
56,135886,26083,610,64,6,11.743202522717814,48,0.5849103926205201,0
39,146753,23354,584,68,8,2.913362227107349,24,0.11250205642529607,0
46,68320,27190,580,50,1,8.58674005386655,12,0.49289107519687714,0
23,67414,11142,463,21,11,20.606334634182197,12,0.2606849778704352,0
39,123542,33398,523,87,13,16.34854659250118,48,0.11874397843482967,0
40,35577,46862,445,106,0,19.460063524444344,48,0.5589012701047918,1
52,145354,38132,329,108,1,12.562309167860164,12,0.1698211651047918,0
27,108009,24503,344,115,6,9.468907489404925,12,0.3758896418628477,0
61,146365,39631,770,100,12,13.363227099888332,24,0.2370271037147739,0
53,75409,21499,333,52,9,9.7690990391294,48,0.13259640109234552,0
60,48625,44852,726,99,5,21.37684967516653,24,0.12496124283168955,0
59,101040,13016,520,35,3,9.197658600839029,12,0.1577783494181694,0
38,44089,7384,833,67,0,17.344681910194385,60,0.13568350694469003,0
60,56487,20072,666,35,12,5.582100001964376,60,0.4802790577599615,0
21,85838,41703,849,51,0,17.954496109035475,12,0.3427831011417146,0
31,116999,19482,415,52,4,23.04924351100076,48,0.2714460456744898,0
48,130448,45510,538,81,14,16.19312097939794,60,0.30918445506600356,0
45,114795,26826,634,49,0,15.096746050775737,48,0.5644733677863116,0
43,70138,7490,740,79,11,24.125161030486904,60,0.5553759063690736,0
51,62823,30518,447,40,14,16.616422494606546,48,0.4578382400612885,1
50,57208,29045,308,17,6,8.339884748644359,60,0.5423411887108439,0
62,74061,31910,587,21,12,9.07879803657416,48,0.25982401379381237,0
55,50659,29566,687,65,10,18.369399457058364,24,0.29055466300414146,0
27,149824,38905,349,20,0,19.047323362574193,48,0.40685609092711406,0
36,121376,32103,816,99,0,9.328665215252842,24,0.4118129736486321,0
46,51890,41188,577,43,1,10.27023950334243,24,0.34084991900617045,1
68,99134,10845,599,102,12,24.79877144662946,12,0.3003289242189766,0
69,67055,26162,434,46,13,4.793932365556243,24,0.5930901558043475,1
22,132269,41674,446,38,10,11.604513139902235,36,0.5105618130588622,0
21,39508,24337,789,28,11,3.905069451943918,24,0.3174900989440226,0
68,62287,27313,777,53,9,20.974263144960425,48,0.46364623861978427,0
32,98916,31943,458,89,2,4.577781376272226,24,0.23478084662622975,0
25,46984,17413,683,84,12,17.665165520411,48,0.15008466311866495,0
57,130169,5276,462,16,10,3.7708770400783465,48,0.27621551277637035,0
52,28125,22611,740,79,14,17.639238350718053,36,0.30148640006169714,0
29,56059,44105,488,59,0,21.468331305873324,24,0.1082685622803354,0
61,89569,16944,714,30,14,11.47348435579129,24,0.507396000817948,0
55,123409,20906,638,114,8,14.24784610222398,60,0.2795967011945908,0
39,37087,25536,480,72,9,11.534689105118856,60,0.3902090828900735,0
68,126437,32810,587,94,7,9.260997069234374,12,0.136981593635478,0
36,135262,17306,486,77,4,20.573426514110384,48,0.187498414375292,0
23,25704,15503,437,48,12,8.620057908947267,36,0.54484686266378,0
40,80576,24225,429,100,10,18.76622704876256,60,0.40434376394140037,0
44,93384,41976,493,1,1,7.139434283242051,24,0.5751420250852428,1
53,107128,16590,615,115,4,8.121710411762415,12,0.5993750171956584,0
44,131279,15886,443,47,5,10.070376157987276,36,0.2859300576665472,0
31,92460,17866,315,109,13,15.756018491360235,24,0.2494015320416373,0
69,47208,6088,601,13,14,12.724502181089676,24,0.5291780275795483,0
28,138516,8363,722,58,0,19.26575822112596,48,0.5993057135187271,0
56,149612,37792,544,96,10,7.305264257564327,48,0.41482061711622864,0
58,105150,14764,406,98,3,2.7401264765987676,60,0.49757036125576115,0
60,86024,25620,387,57,8,19.97254311516745,60,0.49087292940763727,0
40,59882,47727,428,102,1,20.98711001230163,24,0.2776698541097735,0
55,45923,17935,640,57,4,3.8383036699387647,24,0.3871351901285436,0
68,146561,13068,303,110,0,16.24541924856392,60,0.5165284706321068,1
45,134044,12295,626,50,3,11.009652637144253,60,0.4440569381305277,0
55,121477,46160,709,83,3,20.362652241876628,24,0.11058190699101914,0
45,49165,16390,605,1,5,22.174327469420767,36,0.2683528344487668,0
49,87203,46216,524,114,9,21.647584752938105,24,0.17223784829730268,0
38,111749,25131,647,40,8,19.987095565394174,36,0.21648610603901955,0
66,24114,34218,620,82,2,8.553675146698666,36,0.5527447387456629,1
38,84965,15433,480,100,8,20.767516980287127,24,0.11844664445538408,0
22,56321,20038,685,81,5,14.503265707891586,12,0.20990035598096188,0
55,93297,33182,407,15,6,3.6870238337220433,60,0.2547846761191157,0
36,116652,16528,830,3,11,12.781124122710601,48,0.4084420359831974,0
61,119304,26281,709,11,9,23.698553133174848,24,0.3670508450429327,0
56,133942,13605,595,28,1,22.476835369049937,36,0.20913474142669305,0
53,45426,39782,470,6,10,4.800946322435111,24,0.18212053361157723,0
24,37772,6381,630,13,9,19.24285042857333,60,0.2183990172980594,0
53,123754,6098,792,118,13,20.630339484060283,36,0.3512648133508278,0
34,23712,24810,494,11,5,8.606234235327207,48,0.23558889285560172,1
41,21367,29322,311,98,5,13.111192841674576,48,0.5738012508038611,1
68,126493,46869,494,4,1,18.497228682932864,48,0.3319326107144238,0
40,127317,37955,789,80,1,12.378433498475827,12,0.12939800827231854,0
28,135142,49716,481,105,13,5.037930674497981,36,0.46463320291831667,0
27,111736,15207,615,31,1,18.382355005338734,36,0.2644226441044948,0
23,71924,26793,329,73,9,23.01187051904433,12,0.42674446602912375,1
37,23726,7092,395,42,11,17.180906389138546,36,0.239797185261616,0
53,109152,33220,680,80,0,19.91051684280326,12,0.3853718708666599,0
68,47723,23514,743,68,4,10.563157052301142,24,0.4860762524037323,0
32,146969,43010,597,44,7,6.621960515349284,60,0.564004370887277,0
42,123110,13549,660,105,1,16.962407386411584,48,0.23056357221653853,0
42,120494,27031,673,8,12,9.874852131427424,12,0.26742847549949056,0
66,29108,10185,602,48,14,21.851654177270337,12,0.3321332101429698,0
50,97714,20271,720,32,4,5.2591311245051475,12,0.5635874188679945,0
58,55643,10776,545,99,11,12.252933243995283,24,0.5506934284053285,0
58,51324,17449,536,99,7,11.42637101053868,12,0.14493914005031902,0
65,123896,29297,833,17,9,23.606211704963417,60,0.16596491287690543,0
28,103360,45591,484,8,13,5.945533013599087,60,0.34775458866531916,0
47,130896,20717,767,61,4,2.7215535627702465,48,0.15330963640271175,0
47,28927,45123,662,56,1,7.856917288160146,24,0.27279043667434877,1
54,113680,44233,582,28,2,20.956229344794725,60,0.17419268910873884,0
41,116546,15350,635,113,14,7.209740861057884,36,0.4180201775659429,0
50,42443,35622,461,77,5,7.919756433373361,36,0.5747477158695808,1
53,99973,40323,459,24,10,5.422723102078243,36,0.5983668851471907,1
48,83449,7951,773,14,10,18.59731457372216,12,0.28762056624845744,0
67,129834,22622,621,5,4,4.056419286371886,12,0.3995063185573061,0
53,125314,9727,311,119,10,9.952186802391736,36,0.5281338267620407,0
25,96743,43454,723,41,3,8.856221348971701,48,0.158731036398192,0
68,141805,41469,372,28,3,14.991093920278484,48,0.44478220552598247,0
39,80233,40548,500,78,4,18.93436596294405,12,0.30442183086253416,0
24,45537,28782,821,92,1,14.489719780676817,36,0.20307308014008205,0
55,121293,33454,804,3,8,23.44808484193902,48,0.301376809373721,0
69,97576,7368,338,81,1,23.90745937496497,12,0.13798014348245843,0
37,127522,20592,359,113,9,10.632969891216597,36,0.4477035742946529,0
64,42612,27173,620,56,1,19.997808466185088,24,0.22637133437422655,0
48,113977,38204,734,48,9,19.12303112353427,36,0.25570282252243903,0
50,26471,40596,707,43,13,22.591703313358614,36,0.16054064912073138,0
49,55631,39324,685,102,8,12.578731904673324,60,0.5323295569449459,1
66,148449,28864,377,79,13,14.435646711950325,60,0.34672213964136933,0
26,128997,35750,493,74,2,11.854922055585416,24,0.3860734388932001,0
55,112059,15576,584,13,14,21.633480684243377,24,0.3847163415474273,0
61,51348,21566,826,2,9,7.6683020956480235,36,0.30524655727067085,0
57,84732,12190,823,114,6,7.893454260455005,48,0.19626495771906974,0
44,21177,28071,455,113,3,10.883614830484294,24,0.4725663742492,1
49,24760,43333,639,61,12,7.682713722302902,36,0.16352813267883717,0
69,52779,20369,424,105,12,15.122653819335717,12,0.15193689513940525,0
66,41636,29035,579,63,5,5.526027396148802,60,0.4550725187982517,0
51,101889,6589,427,101,13,9.704189936591245,48,0.20441851022599192,0
55,73551,30235,613,44,3,23.052505715700775,36,0.2533863756764162,0
53,31556,5159,631,105,9,11.707573304315408,12,0.3376137335008701,0
41,47598,17145,449,81,14,19.335258621103957,60,0.3246756583647731,0
52,31563,20373,753,57,6,5.052899313397916,12,0.45428956253249964,0
43,66819,36921,335,19,0,8.070201433190155,36,0.4117158967216805,1
53,129326,44323,719,57,2,20.66527647700829,24,0.4221980811409328,0
23,93770,21237,321,111,12,19.667341066518116,60,0.4570271653277287,1
38,111055,46971,505,88,2,11.188508168360976,12,0.24630636371173267,0
45,46966,13244,655,56,0,23.97393029575317,24,0.2611666559002368,0
62,140133,19743,739,101,5,22.989467856277273,48,0.31899887394777704,0
51,101709,36566,395,76,14,24.151766855025397,36,0.253731086516763,0
23,79889,23691,463,67,12,12.128080529225171,36,0.5924689344854317,1
60,46987,38996,447,118,10,6.943155632927868,60,0.5070259632107148,1
66,98714,10590,829,77,13,16.59981937955517,12,0.1823273441280148,0
44,124874,10585,593,96,8,17.907396061281965,48,0.10279707794093476,0
52,78348,14227,494,91,7,5.3224401501367,60,0.12139163412363393,0
67,44596,33278,779,51,10,20.195868271657883,60,0.22203172552146264,0
42,53174,43814,422,36,6,2.9063549445991117,12,0.15714564291842828,0
43,84106,17237,699,7,9,13.361388718227627,48,0.3666690574462861,0
22,127510,20649,751,43,7,9.947865838635135,12,0.5289976113636793,0
47,89967,42713,403,97,5,19.15681884772939,36,0.46837511045661373,1
62,79182,12927,761,107,8,9.537116366990858,24,0.2078045315410952,0
22,113300,12016,695,4,2,21.10316003757324,36,0.29964962801289297,0
46,107163,19027,636,117,14,15.886453497568237,36,0.35394710476563884,0
37,59310,29142,441,68,9,20.362600639646622,60,0.5051029247516677,0
60,76088,28545,616,30,9,24.760164351391534,36,0.5195608015530824,0
53,148803,36897,826,44,8,17.781062779230027,48,0.554859155953888,0
29,28906,8167,700,8,3,24.66138211813699,36,0.3546226252514376,0
63,56914,49757,609,105,6,3.1488173557383705,48,0.44713737321793146,1
68,130350,31917,794,31,14,10.10814974088569,12,0.15590018561696858,0
